abbr,date,death,positive,Name
AK,2021-02-15,282,54282,Alaska
AL,2021-02-15,9244,481605,Alabama
AR,2021-02-15,5275,313348,Arkansas
AZ,2021-02-15,14978,798608,Arizona
CA,2021-02-15,47043,3406365,California
CO,2021-02-15,5826,414369,Colorado
CT,2021-02-15,7447,270242,Connecticut
DC,2021-02-15,980,39001,District Of Columbia
DE,2021-02-15,1283,83239,Delaware
FL,2021-02-15,29434,1797728,Florida
GA,2021-02-15,15928,966807,Georgia
HI,2021-02-15,426,27606,Hawaii
IA,2021-02-15,5237,274955,Iowa
ID,2021-02-15,1803,167483,Idaho
IL,2021-02-15,22166,1163574,Illinois
IN,2021-02-15,12191,649652,Indiana
KS,2021-02-15,4406,287450,Kansas
KY,2021-02-15,4291,389521,Kentucky
LA,2021-02-15,9325,420394,Louisiana
MA,2021-02-15,15517,559350,Massachusetts
MD,2021-02-15,7580,371705,Maryland
ME,2021-02-15,649,42677,Maine
MI,2021-02-15,16130,630408,Michigan
MN,2021-02-15,6378,474169,Minnesota
MO,2021-02-15,7455,471662,Missouri
MS,2021-02-15,6464,287980,Mississippi
MT,2021-02-15,1328,97539,Montana
NC,2021-02-15,10501,824352,North Carolina
ND,2021-02-15,1461,98643,North Dakota
NE,2021-02-15,2003,197328,Nebraska
NH,2021-02-15,1135,71017,New Hampshire
NJ,2021-02-15,22466,747432,New Jersey
NM,2021-02-15,3538,180761,New Mexico
NV,2021-02-15,4720,288739,Nevada
NY,2021-02-15,37221,1536134,New York
OH,2021-02-15,16394,941265,Ohio
OK,2021-02-15,4041,414272,Oklahoma
OR,2021-02-15,2137,150281,Oregon
PA,2021-02-15,23119,896860,Pennsylvania
RI,2021-02-15,2334,121787,Rhode Island
SC,2021-02-15,8034,489018,South Carolina
SD,2021-02-15,1844,110376,South Dakota
TN,2021-02-15,10937,758561,Tennessee
TX,2021-02-15,40593,2563949,Texas
UT,2021-02-15,1796,361756,Utah
VA,2021-02-15,7016,551538,Virginia
VT,2021-02-15,190,13862,Vermont
WA,2021-02-15,4675,328047,Washington
WI,2021-02-15,6749,607639,Wisconsin
WV,2021-02-15,2212,127889,West Virginia
WY,2021-02-15,647,53136,Wyoming
